Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
PS,1998,Action,Konami Digital Entertainment,6.03,94.0,20,9.4,918,KCEJ,M,1990s,Other,3.044522437723423,6.823286122355687
PS3,2008,Action,Konami Digital Entertainment,5.99,94.0,82,8.7,3558,Kojima Productions,M,2000s,Other,4.418840607796598,8.177234885510194
PS2,2006,Role-Playing,Square Enix,5.95,92.0,64,7.6,972,Square Enix,T,2000s,Final Fantasy,4.174387269895637,6.880384082186005
PS3,2013,Action,Sony Computer Entertainment Europe,5.87,95.0,98,9.1,8003,Naughty Dog,M,2010s,Other,4.59511985013459,8.987696695703624
PS3,2008,Platform,Sony Computer Entertainment,5.82,95.0,85,6.8,5311,"SCE/WWS, Media Molecule",E,2000s,Other,4.454347296253507,8.577723691156269
PS,1998,Action,Virgin Interactive,5.82,89.0,13,9.2,364,Capcom,M,1990s,Other,2.639057329615259,5.8998973535824915
DS,2009,Role-Playing,Nintendo,5.78,87.0,65,8.8,197,Level 5,E10+,2000s,Other,4.189654742026425,5.288267030694535
PS,1996,Fighting,Sony Computer Entertainment,5.74,89.0,8,8.9,102,Namco,T,1990s,Other,2.1972245773362196,4.634728988229636
PS4,2014,Shooter,Activision,5.64,76.0,95,6.1,5380,"Bungie Software, Bungie",T,2010s,Other,4.564348191467836,8.59062950948942
Wii,2007,Action,LucasArts,5.64,80.0,17,8.9,62,Traveller's Tales,E10+,2000s,Other,2.8903717578961645,4.143134726391533
DS,2006,Simulation,505 Games,5.63,67.0,35,7.2,21,Taito Corporation,E,2000s,Other,3.58351893845611,3.091042453358316
PS3,2009,Action,Ubisoft,5.55,91.0,70,8.6,1202,Ubisoft Montreal,M,2000s,Other,4.2626798770413155,7.0925737159746784
X360,2007,Adventure,Ubisoft,5.54,81.0,77,7.7,1074,Ubisoft Montreal,M,2000s,Other,4.356708826689592,6.980075940561763
X360,2009,Racing,Microsoft Game Studios,5.49,92.0,90,8.0,516,Turn 10,E,2000s,Other,4.51085950651685,6.248042874508429
GBA,2001,Platform,Nintendo,5.49,84.0,19,7.8,41,Nintendo,E,2000s,Mario,2.995732273553991,3.7376696182833684
PSP,2008,Role-Playing,Capcom,5.48,81.0,48,8.7,124,Capcom,T,2000s,Other,3.8918202981106265,4.8283137373023015
PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96.0,42,8.6,2162,Rocksteady Studios,T,2010s,Other,3.7612001156935624,7.679251425953058
XOne,2014,Action,Take-Two Interactive,5.48,97.0,14,7.9,764,Rockstar North,M,2010s,Grand Theft Auto,2.70805020110221,6.639875833826536
GBA,2001,Racing,Nintendo,5.47,93.0,24,8.3,108,Intelligent Systems,E,2000s,Mario,3.2188758248682006,4.6913478822291435
PS2,2001,Platform,Universal Interactive,5.42,66.0,22,7.1,156,Traveller's Tales,E,2000s,Other,3.1354942159291497,5.056245805348308
PS3,2008,Shooter,Activision,5.39,85.0,45,7.6,409,Treyarch,M,2000s,Call of Duty,3.828641396489095,6.016157159698354
PS4,2016,Shooter,Sony Computer Entertainment,5.38,93.0,113,7.9,7064,Naughty Dog,T,2010s,Other,4.736198448394496,8.862908295118627
PS3,2009,Role-Playing,Square Enix,5.33,83.0,83,7.3,2483,Square Enix,T,2000s,Final Fantasy,4.430816798843313,7.81762544305337
PS,2000,Role-Playing,SquareSoft,5.3,94.0,22,8.9,779,SquareSoft,T,2000s,Final Fantasy,3.1354942159291497,6.659293919683638
X360,2012,Action,Ubisoft,5.29,84.0,61,6.7,1196,Ubisoft,M,2010s,Other,4.127134385045092,7.087573705557973
PS2,2003,Role-Playing,Electronic Arts,5.29,85.0,45,6.6,400,SquareSoft,T,2000s,Final Fantasy,3.828641396489095,5.993961427306569
XOne,2014,Shooter,Activision,5.27,81.0,53,5.4,898,Sledgehammer Games,M,2010s,Call of Duty,3.9889840465642745,6.80128303447162
X360,2009,Action,Ubisoft,5.26,90.0,82,8.8,1305,Ubisoft Montreal,M,2000s,Other,4.418840607796598,7.174724309836376
PS,1997,Action,Eidos Interactive,5.24,85.0,13,7.5,27,Core Design Ltd.,T,1990s,Other,2.639057329615259,3.332204510175204
WiiU,2012,Platform,Nintendo,5.22,84.0,70,8.1,733,Nintendo,E,2010s,Mario,4.2626798770413155,6.598509028614515
PS2,2004,Role-Playing,Square Enix,5.21,89.0,63,8.8,245,Level 5,T,2000s,Other,4.1588830833596715,5.5053315359323625
DS,2007,Puzzle,Nintendo,5.19,85.0,72,8.6,147,Level 5,E,2000s,Other,4.290459441148391,4.997212273764115
X360,2012,Action,Electronic Arts,5.16,90.0,48,6.1,403,Electronic Arts,E,2010s,FIFA,3.8918202981106265,6.0014148779611505
PC,2012,Role-Playing,Activision,5.14,88.0,86,4.0,9629,Blizzard Entertainment,M,2010s,Other,4.465908118654584,9.172638504792172
PS2,2003,Shooter,Electronic Arts,5.13,68.0,30,7.6,100,EA LA,T,2000s,Other,3.4339872044851463,4.61512051684126
PS2,2006,Misc,RedOctane,5.12,92.0,69,8.5,112,Harmonix Music Systems,T,2000s,Other,4.248495242049359,4.727387818712341
X360,2010,Role-Playing,Microsoft Game Studios,5.1,80.0,88,6.5,604,Lionhead Studios,M,2010s,Other,4.48863636973214,6.405228458030842
PS3,2009,Action,Capcom,5.09,84.0,76,7.5,667,Capcom,M,2000s,Other,4.343805421853684,6.504288173536645
DS,2007,Action,Nintendo,5.08,90.0,57,8.0,416,Nintendo,E,2000s,Zelda,4.060443010546419,6.0330862217988015
PS3,2010,Sports,Electronic Arts,5.07,89.0,51,8.0,233,EA Sports,E,2010s,FIFA,3.9512437185814275,5.455321115357702
PS,1996,Action,Virgin Interactive,5.05,91.0,8,9.0,266,Capcom,M,1990s,Other,2.1972245773362196,5.58724865840025
PSP,2006,Action,Take-Two Interactive,5.03,86.0,50,8.0,150,Rockstar Leeds,M,2000s,Grand Theft Auto,3.9318256327243257,5.017279836814924
PS,1999,Sports,Activision,5.02,92.0,18,9.2,69,Neversoft Entertainment,T,1990s,Other,2.9444389791664403,4.248495242049359
PS2,2007,Misc,Activision,4.98,82.0,24,8.2,46,"Neversoft Entertainment, BudCat",T,2000s,Other,3.2188758248682006,3.8501476017100584
Wii,2007,Shooter,Nintendo,4.98,68.0,34,7.1,47,Nintendo,T,2000s,Other,3.5553480614894135,3.8712010109078907
X360,2008,Role-Playing,Bethesda Softworks,4.93,93.0,84,8.5,1655,Bethesda Game Studios,M,2000s,Other,4.442651256490317,7.412160334945205
PS3,2007,Action,Sony Computer Entertainment,4.92,88.0,66,8.1,2306,"Naughty Dog, SCE/WWS",T,2000s,Other,4.204692619390966,7.7437032581737535
PS2,2005,Sports,Electronic Arts,4.91,88.0,29,8.0,121,EA Sports,E,2000s,Madden,3.4011973816621555,4.804021044733257
PC,2010,Strategy,Activision,4.84,93.0,82,8.2,3052,Blizzard Entertainment,T,2010s,Other,4.418840607796598,8.023879992734878
PS3,2007,Adventure,Ubisoft,4.82,81.0,40,7.3,769,Ubisoft Montreal,M,2000s,Other,3.713572066704308,6.646390514847729
