Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
XB,2003,Simulation,Microsoft Game Studios,88.0,49,8.8,45,FASA Studio,T,2000s,Other,3.912023005428146,3.828641396489095
GC,2002,Fighting,Capcom,68.0,20,8.9,27,Capcom,T,2000s,Other,3.044522437723423,3.332204510175204
Wii,2009,Puzzle,Zoo Digital Publishing,63.0,11,7.5,27,Infinite Interactive,E,2000s,Other,2.4849066497880004,3.332204510175204
DS,2006,Action,Activision,50.0,17,7.8,6,Amaze Entertainment,E10+,2000s,Other,2.8903717578961645,1.9459101490553128
XB,2005,Platform,Microsoft Game Studios,62.0,21,6.2,6,Tiwak,E,2000s,Other,3.091042453358316,1.9459101490553128
PSP,2007,Action,THQ,64.0,7,7.1,7,Locomotive Games,E,2000s,Other,2.079441541679836,2.079441541679836
DS,2008,Fighting,THQ,58.0,15,7.8,6,TOSE,T,2000s,Other,2.772588722239781,1.9459101490553128
Wii,2009,Racing,Bethesda Softworks,37.0,14,3.8,11,Awesome Play Ltd.,E,2000s,Other,2.70805020110221,2.4849066497880004
X360,2008,Fighting,Atari,72.0,50,7.6,41,"Dimps Corporation, Namco Bandai Games",T,2000s,Other,3.9318256327243257,3.737669618283368
PC,2010,Sports,Sega,85.0,23,8.4,77,Sports Interactive,E,2010s,Other,3.1780538303479458,4.356708826689592
PSV,2011,Racing,Namco Bandai Games,44.0,39,3.7,59,"Namco Bandai Games, Cellius",E10+,2010s,Other,3.688879454113936,4.0943445622221
PS2,2002,Simulation,Metro 3D,71.0,14,7.5,27,Racjin,T,2000s,Other,2.70805020110221,3.332204510175204
GC,2003,Action,Ubisoft,92.0,33,8.4,41,Ubisoft,T,2000s,Other,3.5263605246161616,3.737669618283368
Wii,2009,Racing,Codemasters,51.0,10,5.5,22,Codemasters,E10+,2000s,Other,2.3978952727983707,3.1354942159291497
Wii,2008,Misc,SouthPeak Games,54.0,8,7.6,7,TopWare Interactive,E10+,2000s,Other,2.19722457733622,2.079441541679836
PS2,2004,Platform,Activision,63.0,25,5.7,12,Adrenium,E,2000s,Other,3.258096538021482,2.5649493574615367
GC,2003,Sports,Activision,76.0,18,7.6,5,Toys for Bob,E,2000s,Other,2.9444389791664403,1.791759469228055
XOne,2016,Platform,Electronic Arts,72.0,46,4.4,266,EA DICE,T,2010s,Other,3.8501476017100575,5.58724865840025
PS,2001,Racing,Activision,54.0,16,6.3,4,UDS,T,2000s,Other,2.833213344056216,1.6094379124341005
PS4,2015,Racing,Codemasters,65.0,46,6.3,43,Codemasters,E,2010s,Other,3.8501476017100575,3.784189633918261
X360,2009,Sports,Electronic Arts,90.0,63,7.5,133,EA Sports,E,2000s,FIFA,4.158883083359672,4.897839799950911
PC,2011,Simulation,Electronic Arts,70.0,22,3.6,81,The Sims Studio,T,2010s,Other,3.1354942159291497,4.406719247264253
Wii,2007,Role-Playing,Square Enix,76.0,34,8.0,20,h.a.n.d. Inc.,E10+,2000s,Final Fantasy,3.555348061489413,3.044522437723423
GBA,2002,Action,Ubisoft,63.0,5,2.8,6,Ubisoft,E,2000s,Other,1.791759469228055,1.9459101490553128
PS2,2001,Misc,Sony Computer Entertainment,67.0,26,6.6,26,NanaOn-Sha,E,2000s,Other,3.295836866004329,3.295836866004329
PC,2009,Racing,Codemasters,67.0,16,6.7,86,Asobo Studio,E,2000s,Other,2.833213344056216,4.465908118654584
GC,2005,Misc,Namco Bandai Games,60.0,23,7.5,27,Backbone Vancouver,E10+,2000s,Other,3.1780538303479458,3.332204510175204
PS3,2011,Role-Playing,Namco Bandai Games,85.0,89,8.6,984,Level 5,E10+,2010s,Other,4.499809670330265,6.892641641172089
DS,2007,Action,Electronic Arts,51.0,15,4.9,19,Visual Impact,E,2000s,Other,2.772588722239781,2.995732273553991
GBA,2003,Platform,TDK Mediactive,49.0,10,6.2,5,Pocket Studios,E,2000s,Other,2.3978952727983707,1.791759469228055
PS3,2010,Action,Capcom,61.0,37,7.9,29,Capcom,T,2010s,Other,3.6375861597263857,3.4011973816621555
X360,2006,Racing,THQ,65.0,16,6.1,8,Rainbow Studios,E,2000s,Other,2.833213344056216,2.19722457733622
X360,2008,Misc,Microsoft Game Studios,71.0,43,7.4,34,iNiS,T,2000s,Other,3.784189633918261,3.555348061489413
GC,2002,Adventure,Nintendo,71.0,12,8.5,21,Nintendo,E,2000s,Other,2.5649493574615367,3.091042453358316
PS2,2003,Strategy,Electronic Arts,66.0,17,8.4,30,Zono Inc.,T,2000s,Other,2.8903717578961645,3.4339872044851463
PC,2014,Simulation,Electronic Arts,70.0,74,3.9,2057,Maxis,T,2010s,Other,4.31748811353631,7.629489916393995
PSP,2007,Action,Ubisoft,44.0,4,5.4,7,Virtuos,M,2000s,Other,1.6094379124341005,2.079441541679836
PSP,2006,Misc,Capcom,75.0,27,7.5,27,"Capcom, Klein Computer Entertainment",T,2000s,Other,3.332204510175204,3.332204510175204
PS2,2005,Action,THQ,68.0,44,8.2,56,Volition Inc.,M,2000s,Other,3.80666248977032,4.04305126783455
DS,2009,Puzzle,Electronic Arts,82.0,46,8.0,38,EA Tiburon,E,2000s,Other,3.8501476017100575,3.6635616461296463
X360,2012,Racing,Codemasters,75.0,53,6.4,53,Codemasters,E10+,2010s,Other,3.9889840465642745,3.9889840465642745
PSP,2005,Racing,Sony Computer Entertainment,67.0,18,7.8,19,Traveller's Tales,E,2000s,Other,2.9444389791664403,2.995732273553991
XB,2003,Strategy,Sega,69.0,20,8.4,10,Team 17,T,2000s,Other,3.044522437723423,2.3978952727983707
PC,2008,Puzzle,2D Boy,90.0,26,8.5,607,2D Boy,E,2000s,Other,3.295836866004329,6.410174881966167
PS2,2007,Sports,Take-Two Interactive,72.0,7,6.0,9,Visual Concepts,E,2000s,Other,2.079441541679836,2.302585092994046
X360,2007,Simulation,Atari,80.0,54,7.9,101,Project Aces,T,2000s,Other,4.007333185232471,4.624972813284271
PC,2010,Simulation,Focus Home Interactive,70.0,17,5.7,39,Monte Cristo Multimedia,E,2010s,Other,2.8903717578961645,3.688879454113936
GC,2001,Sports,Acclaim Entertainment,66.0,17,5.6,9,Acclaim,E,2000s,Other,2.8903717578961645,2.302585092994046
PS3,2010,Strategy,Ubisoft,76.0,37,7.3,50,Eugen Systems,T,2010s,Other,3.6375861597263857,3.9318256327243257
PSP,2010,Fighting,THQ,74.0,27,7.0,13,Yuke's,T,2010s,Other,3.332204510175204,2.639057329615259
PSP,2005,Sports,Electronic Arts,75.0,25,8.5,15,EA Canada,E,2000s,Other,3.258096538021482,2.772588722239781
XOne,2015,Adventure,Square Enix,86.0,102,8.0,1288,Crystal Dynamics,M,2010s,Other,4.634728988229636,7.161622002939187
PC,2010,Action,THQ,83.0,18,7.8,603,Vigil Games,M,2010s,Other,2.9444389791664403,6.403574197934815
GBA,2002,Shooter,Ubisoft,69.0,8,7.5,27,Red Storm Entertainment,T,2000s,Other,2.19722457733622,3.332204510175204
X360,2005,Sports,Electronic Arts,62.0,39,6.0,34,EA Canada,E,2000s,FIFA,3.688879454113936,3.555348061489413
PS2,2007,Role-Playing,Rising Star Games,60.0,6,8.8,44,Sting,T,2000s,Other,1.9459101490553128,3.80666248977032
WiiU,2013,Action,Ubisoft,75.0,5,7.8,148,Ubisoft Toronto,M,2010s,Other,1.791759469228055,5.003946305945459
Wii,2007,Misc,Electronic Arts,57.0,37,5.3,54,EA Montreal,E10+,2000s,Other,3.6375861597263857,4.007333185232471
PS4,2015,Shooter,Take-Two Interactive,82.0,49,7.8,345,Gearbox Software,M,2010s,Other,3.912023005428146,5.846438775057724
PS4,2016,Action,Rebellion Developments,66.0,39,7.0,31,Rebellion,T,2010s,Other,3.688879454113936,3.4657359027997265
PS3,2012,Shooter,505 Games,70.0,21,6.9,92,Rebellion,M,2010s,Other,3.091042453358316,4.532599493153256
Wii,2009,Platform,Nintendo,87.0,80,8.4,594,Nintendo,E,2000s,Mario,4.394449154672439,6.38856140554563
PS3,2012,Action,Konami Digital Entertainment,53.0,19,7.2,22,Gaijin Entertainment,M,2010s,Other,2.995732273553991,3.1354942159291497
PS,2001,Misc,Activision,63.0,7,7.2,6,"Activision, Traveller's Tales",E,2000s,Other,2.079441541679836,1.9459101490553128
PSP,2007,Sports,Sony Computer Entertainment,82.0,42,8.6,12,Clap Hanz,E,2000s,Other,3.7612001156935615,2.5649493574615367
PS2,2001,Racing,Midway Games,45.0,23,5.3,10,Inland Productions,T,2000s,Other,3.1780538303479458,2.3978952727983707
PS3,2012,Action,THQ,76.0,24,8.1,99,THQ,T,2010s,Other,3.218875824868201,4.605170185988092
PSP,2008,Role-Playing,Capcom,81.0,48,8.7,124,Capcom,T,2000s,Other,3.8918202981106265,4.8283137373023015
Wii,2007,Sports,Electronic Arts,76.0,29,6.8,27,EA Tiburon,E,2000s,Madden,3.4011973816621555,3.332204510175204
PS4,2015,Fighting,Namco Bandai Games,61.0,35,7.4,44,CyberConnect2,T,2010s,Other,3.58351893845611,3.80666248977032
PS,2000,Strategy,Infogrames,62.0,10,8.8,31,Infogrames Sheffield,T,2000s,Other,2.3978952727983707,3.4657359027997265
PS3,2011,Fighting,PQube,73.0,6,7.5,27,Arc System Works,T,2010s,Other,1.9459101490553128,3.332204510175204
X360,2011,Misc,Ubisoft,63.0,31,6.8,29,Ubisoft Montreal,E10+,2010s,Other,3.4657359027997265,3.4011973816621555
PS2,2004,Simulation,Indie Games,73.0,19,8.7,7,From Software,T,2000s,Other,2.995732273553991,2.079441541679836
PS4,2014,Sports,Konami Digital Entertainment,82.0,56,7.2,386,Konami,E,2010s,Other,4.04305126783455,5.958424693029782
Wii,2009,Adventure,Nintendo,62.0,22,7.2,36,Creatures Inc.,E,2000s,Other,3.1354942159291497,3.610917912644224
GBA,2006,Adventure,THQ,69.0,10,9.0,4,Artificial Mind and Movement,E,2000s,Other,2.3978952727983707,1.6094379124341005
3DS,2013,Misc,Nintendo,57.0,47,6.3,117,"Nintendo, Nd Cube",E,2010s,Mario,3.8712010109078903,4.770684624465665
XB,2004,Action,Activision,67.0,28,7.5,27,Edge of Reality,E,2000s,Other,3.367295829986474,3.332204510175204
PS2,2008,Role-Playing,Atlus,90.0,47,8.9,634,Atlus Co.,M,2000s,Other,3.8712010109078903,6.453624998892692
PS4,2015,Shooter,Take-Two Interactive,76.0,46,4.3,894,Turtle Rock Studios,M,2010s,Other,3.8501476017100575,6.796823718274855
GBA,2002,Misc,Atari,60.0,14,7.5,27,CodeFire,E,2000s,Other,2.70805020110221,3.332204510175204
PS4,2015,Action,Bethesda Softworks,76.0,54,8.0,267,MachineGames,Unknown,2010s,Other,4.007333185232471,5.5909869805108565
GC,2006,Misc,Capcom,75.0,23,9.2,12,Capcom,E,2000s,Other,3.1780538303479458,2.5649493574615367
PSP,2007,Role-Playing,Square Enix,88.0,41,8.0,238,TOSE,T,2000s,Final Fantasy,3.737669618283368,5.476463551931511
DS,2005,Strategy,Namco Bandai Games,35.0,6,5.6,11,Box Clever Interactive,E10+,2000s,Other,1.9459101490553128,2.4849066497880004
PS2,2002,Adventure,Eidos Interactive,69.0,24,5.0,12,Core Design Ltd.,E,2000s,Other,3.218875824868201,2.5649493574615367
GC,2002,Sports,Activision,70.0,12,7.5,27,Rainbow Studios,T,2000s,Other,2.5649493574615367,3.332204510175204
PS3,2010,Role-Playing,Nippon Ichi Software,44.0,30,4.6,34,Hit Maker,T,2010s,Other,3.4339872044851463,3.555348061489413
XB,2004,Racing,Microsoft Game Studios,87.0,69,9.1,33,Digital Illusions,E,2000s,Other,4.248495242049359,3.5263605246161616
Wii,2009,Sports,Electronic Arts,77.0,23,7.2,24,EA Tiburon,E,2000s,Madden,3.1780538303479458,3.218875824868201
DS,2008,Puzzle,Deep Silver,59.0,23,5.6,5,InXile Entertainment,E,2000s,Other,3.1780538303479458,1.791759469228055
PS3,2008,Fighting,Midway Games,76.0,44,7.1,107,Midway,T,2000s,Other,3.80666248977032,4.68213122712422
Wii,2010,Misc,Ubisoft,56.0,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+,2010s,Other,3.6375861597263857,3.4657359027997265
PC,2002,Role-Playing,Atari,91.0,34,8.2,490,BioWare,T,2000s,Other,3.555348061489413,6.19644412779452
Wii,2011,Misc,Nintendo,60.0,34,6.1,16,Nintendo,E10+,2010s,Other,3.555348061489413,2.833213344056216
X360,2013,Platform,Activision,83.0,37,5.7,45,Vicarious Visions,E10+,2010s,Other,3.6375861597263857,3.828641396489095
PS3,2007,Action,Sony Computer Entertainment,88.0,66,8.1,2306,"Naughty Dog, SCE/WWS",T,2000s,Other,4.204692619390966,7.7437032581737535
PS3,2011,Action,Activision,50.0,33,4.8,37,Silicon Knights,T,2010s,Other,3.5263605246161616,3.6375861597263857
XB,2005,Shooter,Midway Games,72.0,43,8.1,16,Midway Studios - Austin,M,2000s,Other,3.784189633918261,2.833213344056216
PS4,2015,Role-Playing,Idea Factory International,71.0,21,6.2,34,Compile Heart,T,2010s,Other,3.091042453358316,3.555348061489413
PSP,2006,Action,Electronic Arts,61.0,33,6.9,12,Rebellion,T,2000s,Other,3.5263605246161616,2.5649493574615367
WiiU,2014,Action,Warner Bros. Interactive Entertainment,68.0,5,7.7,25,TT Games,E10+,2010s,Other,1.791759469228055,3.258096538021482
X360,2007,Shooter,Microsoft Game Studios,83.0,75,8.0,340,Realtime Worlds,M,2000s,Other,4.330733340286331,5.831882477283517
DS,2010,Adventure,Capcom,82.0,48,7.9,53,Capcom,E10+,2010s,Other,3.8918202981106265,3.9889840465642745
Wii,2008,Fighting,Nintendo,93.0,81,8.9,1662,Game Arts,T,2000s,Other,4.406719247264253,7.416378479192928
XB,2004,Shooter,Eidos Interactive,78.0,44,8.8,15,Io Interactive,M,2000s,Other,3.80666248977032,2.772588722239781
X360,2007,Shooter,Take-Two Interactive,96.0,88,8.9,2249,"Irrational Games, 2K Marin",M,2000s,Other,4.48863636973214,7.718685495198466
PS3,2010,Role-Playing,Sega,64.0,49,6.9,117,Obsidian Entertainment,M,2010s,Other,3.912023005428146,4.770684624465665
PC,2001,Simulation,Microsoft Game Studios,84.0,16,8.4,21,Kuju Entertainment,E,2000s,Other,2.833213344056216,3.091042453358316
XOne,2014,Sports,Unknown,64.0,15,5.4,59,HB Studios Multimedia,E,2010s,Other,2.772588722239781,4.0943445622221
PSP,2007,Racing,Ubisoft,57.0,28,7.9,18,Sumo Digital,M,2000s,Other,3.367295829986474,2.9444389791664403
GC,2004,Role-Playing,Nintendo,65.0,31,8.1,27,Noise Inc.,T,2000s,Other,3.4657359027997265,3.332204510175204
Wii,2009,Strategy,Playlogic Game Factory,66.0,4,7.5,27,Icon Games,E,2000s,Other,1.6094379124341005,3.332204510175204
PSV,2014,Sports,Sony Computer Entertainment America,68.0,6,7.0,25,SCEA San Diego Studios,E,2010s,Other,1.9459101490553128,3.258096538021482
PS3,2011,Action,Konami Digital Entertainment,80.0,41,6.6,132,Konami,E,2010s,Other,3.737669618283368,4.890349128221754
DC,2001,Role-Playing,Sega,80.0,10,8.9,18,Sonic Team,T,2000s,Other,2.3978952727983707,2.9444389791664403
X360,2009,Platform,Ubisoft,62.0,12,6.5,11,Ubisoft Shanghai,E,2000s,Other,2.5649493574615367,2.4849066497880004
PS4,2015,Sports,Bigben Interactive,19.0,5,3.4,65,HB Studios Multimedia,E,2010s,Other,1.791759469228055,4.189654742026425
XB,2003,Sports,Sega,87.0,18,8.2,25,Visual Concepts,E,2000s,Other,2.9444389791664403,3.258096538021482
XB,2002,Puzzle,Jaleco,42.0,6,7.5,27,Runecraft,E,2000s,Other,1.9459101490553128,3.332204510175204
GBA,2003,Racing,Nintendo,77.0,31,8.5,18,Suzak,E,2000s,Other,3.4657359027997265,2.9444389791664403
X360,2010,Fighting,Konami Digital Entertainment,49.0,11,6.3,12,Immersion Software & Graphics,T,2010s,Other,2.4849066497880004,2.5649493574615367
PS3,2011,Shooter,Codemasters,67.0,36,6.3,18,Codemasters,M,2010s,Other,3.610917912644224,2.9444389791664403
PS2,2006,Sports,Electronic Arts,59.0,27,7.7,42,EA Canada,E,2000s,FIFA,3.332204510175204,3.7612001156935615
PC,2006,Action,Vivendi Games,73.0,18,7.5,57,Radical Entertainment,M,2000s,Other,2.9444389791664403,4.060443010546419
PS3,2007,Racing,Codemasters,83.0,32,8.0,32,Codemasters,E,2000s,Other,3.49650756146648,3.49650756146648
PC,2010,Strategy,Take-Two Interactive,90.0,70,7.9,2280,Firaxis Games,E10+,2010s,Other,4.262679877041316,7.732369222284388
X360,2008,Sports,Take-Two Interactive,69.0,33,6.7,7,Visual Concepts,E10+,2000s,Other,3.5263605246161616,2.079441541679836
XB,2005,Sports,Electronic Arts,75.0,20,7.7,11,HB Studios Multimedia,E,2000s,Other,3.044522437723423,2.4849066497880004
PS3,2011,Role-Playing,Electronic Arts,94.0,62,8.5,1081,BioWare,M,2010s,Other,4.143134726391533,6.9865664594064265
DS,2009,Sports,THQ,63.0,5,7.5,27,Webfoot Technologies,E,2000s,Other,1.791759469228055,3.332204510175204
GC,2002,Sports,Electronic Arts,86.0,12,7.8,10,EA Canada,E,2000s,FIFA,2.5649493574615367,2.3978952727983707
PS3,2010,Action,Konami Digital Entertainment,85.0,62,8.0,468,Mercury Steam,M,2010s,Other,4.143134726391533,6.150602768446279
PS3,2011,Shooter,THQ,71.0,52,7.3,58,Volition Inc.,M,2010s,Other,3.970291913552122,4.07753744390572
PS2,2002,Racing,Sony Computer Entertainment,70.0,14,4.4,5,Sega AM2,E,2000s,Other,2.70805020110221,1.791759469228055
XB,2003,Misc,Midway Games,74.0,22,7.5,27,Midway,T,2000s,Other,3.1354942159291497,3.332204510175204
X360,2009,Shooter,SouthPeak Games,69.0,49,7.3,59,TimeGate Studios,T,2000s,Other,3.912023005428146,4.0943445622221
PS4,2016,Action,Telltale Games,45.0,16,5.9,140,The Fun Pimps Entertainment LLC,M,2010s,Other,2.833213344056216,4.948759890378168
X360,2009,Fighting,Ignition Entertainment,63.0,57,4.2,33,SNK Playmore,T,2000s,Other,4.060443010546419,3.5263605246161616
XB,2003,Sports,3DO,83.0,14,8.4,8,3DO,E,2000s,Other,2.70805020110221,2.19722457733622
PS3,2009,Action,Disney Interactive Studios,68.0,22,7.6,7,Eurocom Entertainment Software,E10+,2000s,Other,3.1354942159291497,2.079441541679836
PS3,2009,Strategy,Sony Computer Entertainment,76.0,9,6.9,18,Team 17,E10+,2000s,Other,2.302585092994046,2.9444389791664403
PSP,2008,Racing,Electronic Arts,57.0,14,7.1,19,EA Games,E,2000s,Other,2.70805020110221,2.995732273553991
GC,2005,Sports,Electronic Arts,76.0,14,7.5,27,EA Canada,E,2000s,Other,2.70805020110221,3.332204510175204
PS2,2003,Racing,THQ,55.0,5,7.7,9,Climax Group,E,2000s,Other,1.791759469228055,2.302585092994046
PS2,2000,Racing,Take-Two Interactive,79.0,21,6.8,18,Rockstar San Diego,T,2000s,Other,3.091042453358316,2.9444389791664403
PC,2016,Racing,Codemasters,86.0,33,8.7,288,Codemasters,E,2010s,Other,3.5263605246161616,5.666426688112432
PS,2001,Platform,Sony Computer Entertainment,73.0,7,8.5,6,Eurocom Entertainment Software,E,2000s,Other,2.079441541679836,1.9459101490553128
PC,2016,Adventure,Microids,66.0,15,8.5,144,Artefacts Studio,Unknown,2010s,Other,2.772588722239781,4.976733742420574
PC,2011,Shooter,Bethesda Softworks,79.0,32,5.2,1618,id Software,M,2010s,Other,3.49650756146648,7.389563953677635
PSV,2014,Fighting,Namco Bandai Games,74.0,5,7.9,29,Bandai Namco Games,T,2010s,Other,1.791759469228055,3.4011973816621555
XOne,2015,Shooter,Activision,89.0,11,5.2,393,"Bungie Software, Bungie",T,2010s,Other,2.4849066497880004,5.976350909297934
X360,2008,Shooter,Activision,84.0,84,7.6,580,Treyarch,M,2000s,Call of Duty,4.442651256490317,6.364750756851911
XB,2004,Sports,Global Star,88.0,32,8.5,14,Kush Games,E,2000s,Other,3.49650756146648,2.70805020110221
WiiU,2012,Misc,Ubisoft,52.0,26,5.2,29,Ubisoft Paris,E10+,2010s,Other,3.295836866004329,3.4011973816621555
GBA,2002,Role-Playing,Nintendo,86.0,29,9.5,150,Camelot Software Planning,E,2000s,Other,3.4011973816621555,5.017279836814924
GBA,2006,Role-Playing,Nintendo,92.0,25,8.4,190,TOSE,E10+,2000s,Final Fantasy,3.258096538021482,5.25227342804663
PS,1999,Racing,Electronic Arts,86.0,14,8.5,28,EA Canada,E,1990s,Other,2.70805020110221,3.367295829986474
DS,2008,Action,Atari,78.0,18,7.5,15,Game Republic,T,2000s,Other,2.9444389791664403,2.772588722239781
DS,2010,Adventure,Disney Interactive Studios,78.0,24,7.5,27,Etranges Libellules,E10+,2010s,Other,3.218875824868201,3.332204510175204
PS,2000,Action,Activision,30.0,5,6.9,9,Paradox Development,E,2000s,Other,1.791759469228055,2.302585092994046
Wii,2009,Platform,Oxygen Interactive,31.0,7,7.5,27,Twelve Games,E10+,2000s,Other,2.079441541679836,3.332204510175204
GC,2002,Sports,Nintendo,71.0,18,7.4,7,Left Field Productions,E,2000s,Other,2.9444389791664403,2.079441541679836
PS2,2005,Action,Vivendi Games,53.0,6,6.0,8,Eurocom Entertainment Software,E,2000s,Other,1.9459101490553128,2.19722457733622
GBA,2003,Platform,Capcom,81.0,17,8.6,18,Inti,E,2000s,Other,2.8903717578961645,2.9444389791664403
GBA,2002,Action,Zoo Digital Publishing,70.0,7,7.0,4,Naps Team,T,2000s,Other,2.079441541679836,1.6094379124341005
DS,2005,Role-Playing,Nintendo,62.0,34,8.1,97,ChunSoft,E,2000s,Pokémon,3.555348061489413,4.584967478670572
XB,2004,Action,Take-Two Interactive,66.0,33,7.7,22,Illusion Softworks,M,2000s,Other,3.5263605246161616,3.1354942159291497
PS,1996,Racing,Psygnosis,93.0,8,8.7,20,Psygnosis,Unknown,1990s,Other,2.19722457733622,3.044522437723423
PS3,2008,Shooter,Capcom,67.0,34,7.0,36,Capcom,T,2000s,Other,3.555348061489413,3.610917912644224
Wii,2009,Racing,Zoo Digital Publishing,33.0,4,7.5,27,Beyond Reality,E,2000s,Other,1.6094379124341005,3.332204510175204
PS2,2004,Role-Playing,Tecmo Koei,74.0,38,7.7,38,Gust,T,2000s,Other,3.6635616461296463,3.6635616461296463
PS2,2002,Sports,Sony Computer Entertainment,57.0,16,6.0,4,989 Sports,E,2000s,Other,2.833213344056216,1.6094379124341005
PSP,2009,Adventure,Konami Digital Entertainment,54.0,6,8.2,5,Konami,T,2000s,Other,1.9459101490553128,1.791759469228055
DS,2007,Role-Playing,Nintendo,75.0,30,8.5,37,"Lancarse, Atlus",T,2000s,Other,3.4339872044851463,3.6375861597263857
PS,2000,Role-Playing,Atlus,83.0,11,8.4,25,Atlus Co.,T,2000s,Other,2.4849066497880004,3.258096538021482
X360,2013,Action,Warner Bros. Interactive Entertainment,74.0,46,7.5,685,WB Games Montreal,T,2010s,Other,3.8501476017100575,6.530877627725885
3DS,2012,Action,Nintendo,81.0,14,7.6,22,"Nintendo, Headstrong Games",E,2010s,Other,2.70805020110221,3.1354942159291497
XB,2004,Racing,Global Star,64.0,34,7.5,27,Argonaut Games,E,2000s,Other,3.555348061489413,3.332204510175204
PC,2008,Action,Activision,58.0,6,8.0,4,Aspyr,E10+,2000s,Other,1.9459101490553128,1.6094379124341005
PS,2001,Action,Eidos Interactive,84.0,15,8.9,17,Kronos Digital Entertainment,M,2000s,Other,2.772588722239781,2.8903717578961645
PS2,2006,Action,THQ,56.0,12,8.6,17,Artificial Mind and Movement,E10+,2000s,Other,2.5649493574615367,2.8903717578961645
PC,2012,Role-Playing,Focus Home Interactive,58.0,23,6.5,345,"Cyanide, Cyanide Studios",M,2010s,Other,3.1780538303479458,5.846438775057724
PS2,2003,Action,Capcom,59.0,32,9.0,24,Acquire,M,2000s,Other,3.49650756146648,3.218875824868201
PS4,2016,Action,Activision,44.0,49,5.5,163,PlatinumGames,T,2010s,Other,3.912023005428146,5.099866427824199
Wii,2007,Puzzle,D3Publisher,71.0,17,6.2,5,Vicious Cycle,E10+,2000s,Other,2.8903717578961645,1.791759469228055
PS3,2012,Adventure,Focus Home Interactive,65.0,16,7.4,34,Frogwares,M,2010s,Other,2.833213344056216,3.555348061489413
XB,2005,Action,Take-Two Interactive,85.0,55,8.2,21,Rockstar Toronto,M,2000s,Other,4.02535169073515,3.091042453358316
PS3,2011,Action,Ignition Entertainment,78.0,46,7.5,40,Ignition Entertainment,T,2010s,Other,3.8501476017100575,3.713572066704308
XOne,2014,Sports,Take-Two Interactive,56.0,25,5.7,63,Yuke's,T,2010s,Other,3.258096538021482,4.158883083359672
GC,2002,Action,Activision,76.0,14,7.3,11,Treyarch,E,2000s,Other,2.70805020110221,2.4849066497880004
DS,2006,Simulation,Electronic Arts,49.0,5,5.2,24,Full Fat,E,2000s,Other,1.791759469228055,3.218875824868201
PSP,2008,Puzzle,Sony Computer Entertainment,79.0,28,7.7,13,"SCE/WWS, SCE Japan Studio",E,2000s,Other,3.367295829986474,2.639057329615259
PS3,2010,Role-Playing,Bethesda Softworks,82.0,57,7.8,492,Obsidian Entertainment,M,2010s,Other,4.060443010546419,6.20050917404269
Wii,2010,Action,Activision,59.0,11,7.0,4,Etranges Libellules,E10+,2010s,Other,2.4849066497880004,1.6094379124341005
GC,2004,Platform,THQ,73.0,9,7.8,13,Heavy Iron Studios,E,2000s,Other,2.302585092994046,2.639057329615259
DS,2007,Strategy,Square Enix,66.0,32,7.5,27,Brownie Brown,E10+,2000s,Other,3.49650756146648,3.332204510175204
3DS,2014,Action,Namco Bandai Games,43.0,7,7.5,27,Bandai Namco Games,E10+,2010s,Other,2.079441541679836,3.332204510175204
PC,2007,Simulation,Ubisoft,79.0,22,6.9,40,Ubisoft Romania,T,2000s,Other,3.1354942159291497,3.713572066704308
PS2,2007,Shooter,Sony Computer Entertainment,70.0,24,7.8,12,Sony Bend,T,2000s,Other,3.218875824868201,2.5649493574615367
DS,2008,Action,Activision,69.0,15,7.5,27,Artificial Mind and Movement,E,2000s,Other,2.772588722239781,3.332204510175204
DS,2007,Adventure,Midway Games,43.0,25,3.5,6,Hoplite Research,E,2000s,Other,3.258096538021482,1.9459101490553128
PS3,2012,Shooter,EA Games,75.0,29,6.5,106,Starbreeze,M,2010s,Other,3.4011973816621555,4.672828834461906
GC,2002,Misc,Midway Games,66.0,14,7.5,27,Inevitable Entertainment,T,2000s,Other,2.70805020110221,3.332204510175204
3DS,2013,Action,Rising Star Games,49.0,7,6.3,4,Rising Star Games,E,2010s,Other,2.079441541679836,1.6094379124341005
X360,2007,Shooter,Midway Games,37.0,33,3.0,40,Nfusion,T,2000s,Other,3.5263605246161616,3.713572066704308
GBA,2005,Platform,Ubisoft,61.0,12,7.5,27,Backbone Entertainment,E,2000s,Other,2.5649493574615367,3.332204510175204
PS3,2014,Action,Deep Silver,40.0,25,3.5,51,Fatshark AB,M,2010s,Other,3.258096538021482,3.951243718581428
PSP,2006,Fighting,Atari,70.0,21,8.1,19,Dimps Corporation,T,2000s,Other,3.091042453358316,2.995732273553991
PC,2010,Shooter,Sega,68.0,35,7.4,985,Rebellion,M,2010s,Other,3.58351893845611,6.893656354602635
PC,2008,Action,Activision,52.0,11,7.8,57,"Treyarch, Shaba Games",T,2000s,Other,2.4849066497880004,4.060443010546419
PS2,2009,Action,D3Publisher,39.0,5,2.0,6,Papaya Studios,E10+,2000s,Other,1.791759469228055,1.9459101490553128
DS,2009,Adventure,Capcom,78.0,51,8.4,79,Capcom,T,2000s,Other,3.951243718581428,4.382026634673881
