Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
GBA,2003,Action,Ubisoft,77.0,21,8.6,8,Ubisoft Montreal,T,2000s,Other,3.091042453358316,2.19722457733622
PS3,2009,Shooter,Eidos Interactive,35.0,18,4.8,27,Rebellion,M,2000s,Other,2.9444389791664403,3.332204510175204
PC,2011,Simulation,Electronic Arts,77.0,56,6.1,173,The Sims Studio,T,2010s,Other,4.04305126783455,5.159055299214529
GC,2003,Puzzle,Jaleco,54.0,12,7.5,27,Runecraft,E,2000s,Other,2.5649493574615367,3.332204510175204
PSP,2005,Puzzle,Eidos Interactive,45.0,19,5.4,5,Core Design Ltd.,E10+,2000s,Other,2.995732273553991,1.791759469228055
XB,2004,Sports,Activision,65.0,5,8.3,6,FUN Labs,T,2000s,Other,1.791759469228055,1.9459101490553128
PS3,2009,Role-Playing,Electronic Arts,87.0,41,7.9,597,BioWare,M,2000s,Other,3.737669618283368,6.393590753950631
PS3,2010,Action,Tecmo Koei,58.0,18,7.5,20,"Omega Force, Koei Tecmo Games",T,2010s,Other,2.9444389791664403,3.044522437723423
X360,2011,Platform,THQ,77.0,54,7.5,23,Blue Tongue Entertainment,E10+,2010s,Other,4.007333185232471,3.1780538303479458
DS,2007,Fighting,Midway Games,73.0,26,8.6,22,Other Ocean Interactive,M,2000s,Other,3.295836866004329,3.1354942159291497
Wii,2007,Action,Activision,62.0,16,7.6,7,Smart Bomb Interactive,E,2000s,Other,2.833213344056216,2.079441541679836
PS2,2003,Racing,Codemasters,79.0,40,8.9,32,Incognito Inc.,T,2000s,Other,3.713572066704308,3.49650756146648
DS,2010,Role-Playing,Nintendo,68.0,8,7.1,11,"RED Entertainment, Artdink",E,2010s,Other,2.19722457733622,2.4849066497880004
GC,2001,Sports,Acclaim Entertainment,78.0,15,7.7,10,"Z-Axis, Ltd.",T,2000s,Other,2.772588722239781,2.3978952727983707
PS3,2011,Shooter,Sony Computer Entertainment,83.0,91,7.8,543,Insomniac Games,M,2010s,Other,4.5217885770490405,6.298949246855942
PS2,2006,Sports,Midway Games,56.0,11,7.5,10,Blue Shift,E10+,2000s,Other,2.4849066497880004,2.3978952727983707
XB,2004,Sports,Midway Games,78.0,30,7.7,14,Midway,M,2000s,Other,3.4339872044851463,2.70805020110221
DS,2009,Racing,Electronic Arts,70.0,7,6.3,7,Firebrand Games,E10+,2000s,Other,2.079441541679836,2.079441541679836
GC,2002,Action,Eidos Interactive,71.0,15,7.5,27,Crystal Dynamics,M,2000s,Other,2.772588722239781,3.332204510175204
GBA,2002,Action,Atari,73.0,9,6.6,14,Sennari Interactive,T,2000s,Other,2.302585092994046,2.70805020110221
