Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
18,2011,1,19,0.0,0.0,0.03,0.0,71.0,22.0,7.5,24.0,8,73.0
25,2011,0,23,0.04,0.03,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
4,2009,7,22,0.22,0.1,0.23,0.03,71.0,49.0,7.1,38.0,2,71.0
18,2009,6,21,0.5,1.58,0.31,0.87,71.0,22.0,7.5,24.0,8,73.0
4,2007,3,19,0.0,0.0,0.08,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2014,7,19,0.03,0.0,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
4,2008,1,19,0.07,0.0,0.0,0.01,51.0,11.0,6.3,4.0,1,57.0
18,2012,0,16,0.0,0.0,0.22,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2007,5,9,0.0,0.01,0.0,0.0,70.0,21.0,7.5,11.0,1,72.5
12,2001,9,14,0.0,0.04,0.0,0.01,84.0,16.0,8.4,21.0,1,84.0
16,2009,10,19,0.37,0.0,0.0,0.03,71.0,22.0,5.0,9.0,7,60.5
27,2009,0,10,0.62,0.26,0.0,0.09,82.0,88.0,8.0,268.0,5,81.0
4,2008,3,10,0.1,0.0,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
18,2010,10,2,0.09,0.0,0.0,0.01,71.0,22.0,7.8,5.0,7,74.5
15,2002,10,15,0.14,0.11,0.0,0.04,82.0,19.0,8.4,11.0,1,83.0
4,2008,0,19,0.5,0.28,0.0,0.09,61.0,8.0,5.5,18.0,7,58.0
6,2001,3,16,3.0,1.11,0.05,0.07,79.0,10.0,7.3,6.0,1,76.0
7,2002,6,2,0.04,0.01,0.0,0.0,58.0,17.0,7.5,24.0,7,66.5
18,2006,7,26,0.14,0.12,0.0,0.08,65.0,46.0,8.3,28.0,7,74.0
15,2008,8,19,0.13,0.1,0.0,0.03,71.0,22.0,8.3,11.0,2,77.0
27,2006,10,10,0.24,0.01,0.0,0.02,71.0,22.0,7.5,24.0,8,73.0
29,2016,0,19,0.01,0.01,0.0,0.0,52.0,15.0,7.1,12.0,5,61.5
6,2001,11,3,0.06,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
2,2011,3,23,0.13,0.05,0.0,0.02,64.0,8.0,6.0,8.0,1,62.0
